game_id,match,time,timestamp,odds_1,odds_x,odds_2,url
7994917,Vegas Golden Knights -  Ottawa Senators,05:30,1540771200,1.71,5.00,4.24,https://checkbestodds.com/hockey-odds/nhl/vegas-golden-knights-ottawa-senators-2018-10-29/7994917
7994918,Anaheim Ducks -  San Jose Sharks,05:30,1540771200,3.10,4.55,2.10,https://checkbestodds.com/hockey-odds/nhl/anaheim-ducks-san-jose-sharks-2018-10-29/7994918
7994919,Toronto Maple Leafs -  Calgary Flames,04:30,1540854000,2.07,5.20,3.25,https://checkbestodds.com/hockey-odds/nhl/toronto-maple-leafs-calgary-flames-2018-10-30/7994919
7994920,Vancouver Canucks -  Minnesota Wild,07:30,1540864800,3.30,4.65,1.96,https://checkbestodds.com/hockey-odds/nhl/vancouver-canucks-minnesota-wild-2018-10-30/7994920
7994921,Buffalo Sabres -  Calgary Flames,04:30,1540940400,2.39,4.35,2.61,https://checkbestodds.com/hockey-odds/nhl/buffalo-sabres-calgary-flames-2018-10-31/7994921
7994922,Pittsburgh Penguins -  NY Islanders,04:30,1540940400,1.80,5.05,4.10,https://checkbestodds.com/hockey-odds/nhl/pittsburgh-penguins-ny-islanders-2018-10-31/7994922
7994923,Carolina Hurricanes -  Boston Bruins,04:30,1540940400,2.38,4.20,2.70,https://checkbestodds.com/hockey-odds/nhl/carolina-hurricanes-boston-bruins-2018-10-31/7994923
7994924,Columbus Blue Jackets -  Detroit Red Wings,04:30,1540940400,1.76,5.15,4.10,https://checkbestodds.com/hockey-odds/nhl/columbus-blue-jackets-detroit-red-wings-2018-10-31/7994924
7994925,Montreal Canadiens -  Dallas Stars,05:00,1540942200,2.50,4.20,2.55,https://checkbestodds.com/hockey-odds/nhl/montreal-canadiens-dallas-stars-2018-10-31/7994925
7994926,Tampa Bay Lightning -  New Jersey Devils,05:00,1540942200,2.00,4.33,3.35,https://checkbestodds.com/hockey-odds/nhl/tampa-bay-lightning-new-jersey-devils-2018-10-31/7994926
7994927,Nashville Predators -  Vegas Golden Knights,05:30,1540944000,2.01,4.45,3.48,https://checkbestodds.com/hockey-odds/nhl/nashville-predators-vegas-golden-knights-2018-10-31/7994927
7994928,Edmonton Oilers -  Minnesota Wild,06:30,1540947600,2.26,4.35,2.85,https://checkbestodds.com/hockey-odds/nhl/edmonton-oilers-minnesota-wild-2018-10-31/7994928
7994929,Arizona Coyotes -  Ottawa Senators,07:30,1540951200,1.87,4.60,3.65,https://checkbestodds.com/hockey-odds/nhl/arizona-coyotes-ottawa-senators-2018-10-31/7994929
7994930,Anaheim Ducks -  Philadelphia Flyers,07:30,1540951200,2.49,4.20,2.55,https://checkbestodds.com/hockey-odds/nhl/anaheim-ducks-philadelphia-flyers-2018-10-31/7994930
7994931,San Jose Sharks -  NY Rangers,08:00,1540953000,1.60,5.20,4.50,https://checkbestodds.com/hockey-odds/nhl/san-jose-sharks-ny-rangers-2018-10-31/7994931
7994932,Vancouver Canucks -  Chicago Blackhawks,07:30,1541037600,2.75,4.35,2.30,https://checkbestodds.com/hockey-odds/nhl/vancouver-canucks-chicago-blackhawks-2018-11-01/7994932
7994933,Florida Panthers -  Winnipeg Jets,23:30,1541095200,2.90,4.25,2.24,https://checkbestodds.com/hockey-odds/nhl/florida-panthers-winnipeg-jets-2018-11-01/7994933
7994934,Toronto Maple Leafs -  Dallas Stars,04:30,1541113200,2.04,4.65,3.05,https://checkbestodds.com/hockey-odds/nhl/toronto-maple-leafs-dallas-stars-2018-11-02/7994934
7994935,NY Islanders -  Pittsburgh Penguins,04:30,1541113200,3.25,4.60,2.04,https://checkbestodds.com/hockey-odds/nhl/ny-islanders-pittsburgh-penguins-2018-11-02/7994935
7994936,Montreal Canadiens -  Washington Capitals,05:00,1541115000,2.70,4.35,2.35,https://checkbestodds.com/hockey-odds/nhl/montreal-canadiens-washington-capitals-2018-11-02/7994936
7994937,Ottawa Senators -  Buffalo Sabres,05:00,1541115000,2.66,4.35,2.32,https://checkbestodds.com/hockey-odds/nhl/ottawa-senators-buffalo-sabres-2018-11-02/7994937
7994938,Detroit Red Wings -  New Jersey Devils,05:00,1541115000,3.06,4.35,2.10,https://checkbestodds.com/hockey-odds/nhl/detroit-red-wings-new-jersey-devils-2018-11-02/7994938
7994939,Tampa Bay Lightning -  Nashville Predators,05:00,1541115000,2.30,4.25,2.76,https://checkbestodds.com/hockey-odds/nhl/tampa-bay-lightning-nashville-predators-2018-11-02/7994939
7994940,St. Louis Blues -  Vegas Golden Knights,05:30,1541116800,2.38,4.20,2.73,https://checkbestodds.com/hockey-odds/nhl/st-louis-blues-vegas-golden-knights-2018-11-02/7994940
7994941,Edmonton Oilers -  Chicago Blackhawks,06:30,1541120400,2.00,4.45,3.24,https://checkbestodds.com/hockey-odds/nhl/edmonton-oilers-chicago-blackhawks-2018-11-02/7994941
7994942,Calgary Flames -  Colorado Avalanche,06:30,1541120400,2.33,4.45,2.61,https://checkbestodds.com/hockey-odds/nhl/calgary-flames-colorado-avalanche-2018-11-02/7994942
7994943,Anaheim Ducks -  NY Rangers,07:30,1541124000,2.05,4.50,3.10,https://checkbestodds.com/hockey-odds/nhl/anaheim-ducks-ny-rangers-2018-11-02/7994943
7994944,Los Angeles Kings -  Philadelphia Flyers,08:00,1541125800,2.36,4.35,2.65,https://checkbestodds.com/hockey-odds/nhl/los-angeles-kings-philadelphia-flyers-2018-11-02/7994944
7994945,San Jose Sharks -  Columbus Blue Jackets,08:00,1541125800,1.99,4.33,3.40,https://checkbestodds.com/hockey-odds/nhl/san-jose-sharks-columbus-blue-jackets-2018-11-02/7994945
