id,game_id,date,home_team,away_team,home_goals,away_goals,venue,WINNER,time,odds_1,odds_x,odds_y
109,2018020072,2018-10-14,Blues,Ducks,2,3,Enterprise Center,Ducks,04:30,2.03,4.35,3.15
110,2018020073,2018-10-14,Jets,Hurricanes,3,1,Bell MTS Place,Jets,04:30,1.94,4.5,3.4
111,2018020028,2018-10-07,Flames,Canucks,7,4,Scotiabank Saddledome,Flames,07:30,1.83,4.5,3.8
112,2018020029,2018-10-07,Hurricanes,Rangers,8,5,PNC Arena,Hurricanes,02:30,1.8,4.65,4.15
113,2018020029,2018-10-07,Hurricanes,Rangers,8,5,PNC Arena,Hurricanes,02:30,1.8,4.65,4.15
114,2018020074,2018-10-15,Maple Leafs,Kings,4,1,Scotiabank Arena,Maple Leafs,05:00,1.91,4.5,3.64
115,2018020030,2018-10-07,Blackhawks,Maple Leafs,6,7,United Center,Maple Leafs,04:30,2.93,4.33,2.15
116,2018020075,2018-10-15,Canadiens,Red Wings,7,3,Centre Bell,Canadiens,05:00,2.03,4.33,3.22
117,2018020030,2018-10-07,Blackhawks,Maple Leafs,6,7,United Center,Maple Leafs,04:30,2.93,4.33,2.15
118,2018020076,2018-10-15,Senators,Stars,4,1,Canadian Tire Centre,Senators,05:00,3.44,4.5,1.93
119,2018020074,2018-10-15,Maple Leafs,Kings,4,1,Scotiabank Arena,Maple Leafs,05:00,1.91,4.5,3.64
120,2018020075,2018-10-15,Canadiens,Red Wings,7,3,Centre Bell,Canadiens,05:00,2.03,4.33,3.22
121,2018020031,2018-10-08,Kings,Red Wings,4,2,STAPLES Center,Kings,08:00,1.83,4.33,3.88
122,2018020031,2018-10-08,Kings,Red Wings,4,2,STAPLES Center,Kings,08:00,1.83,4.33,3.88
123,2018020076,2018-10-15,Senators,Stars,4,1,Canadian Tire Centre,Senators,05:00,3.44,4.5,1.93
124,2018020077,2018-10-16,Predators,Wild,4,2,Bridgestone Arena,Predators,05:30,1.82,4.5,3.9
125,2018020032,2018-10-08,Bruins,Senators,6,3,TD Garden,Bruins,22:30,1.63,4.8,4.85
126,2018020033,2018-10-08,Islanders,Sharks,4,0,Barclays Center,Islanders,22:30,3.25,4.33,2.01
127,2018020077,2018-10-16,Predators,Wild,4,2,Bridgestone Arena,Predators,05:30,1.82,4.5,3.9
128,2018020078,2018-10-16,Devils,Stars,3,0,Prudential Center,Devils,04:30,2.23,4.33,2.86
129,2018020032,2018-10-08,Bruins,Senators,6,3,TD Garden,Bruins,22:30,1.63,4.8,4.85
130,2018020033,2018-10-08,Islanders,Sharks,4,0,Barclays Center,Islanders,22:30,3.25,4.33,2.01
131,2018020079,2018-10-16,Rangers,Avalanche,3,2,Madison Square Garden,Rangers,04:30,2.94,4.25,2.19
132,2018020034,2018-10-08,Sabres,Golden Knights,4,2,KeyBank Center,Sabres,00:30,3.05,4.2,2.12
133,2018020080,2018-10-16,Flyers,Panthers,6,5,Wells Fargo Center,Flyers,04:30,2.3,4.33,2.65
134,2018020034,2018-10-08,Sabres,Golden Knights,4,2,KeyBank Center,Sabres,00:30,3.05,4.2,2.12
135,2018020081,2018-10-16,Penguins,Canucks,2,3,PPG Paints Arena,Canucks,04:30,1.67,4.95,4.15
136,2018020035,2018-10-09,Ducks,Red Wings,3,2,Honda Center,Ducks,07:30,1.86,4.6,3.98
137,2018020078,2018-10-16,Devils,Stars,3,0,Prudential Center,Devils,04:30,2.23,4.33,2.86
138,2018020079,2018-10-16,Rangers,Avalanche,3,2,Madison Square Garden,Rangers,04:30,2.94,4.25,2.19
139,2018020035,2018-10-09,Ducks,Red Wings,3,2,Honda Center,Ducks,07:30,1.86,4.6,3.98
140,2018020036,2018-10-09,Flyers,Sharks,2,8,Wells Fargo Center,Sharks,04:30,2.49,4.2,2.6
141,2018020080,2018-10-16,Flyers,Panthers,6,5,Wells Fargo Center,Flyers,04:30,2.3,4.33,2.65
142,2018020037,2018-10-09,Hurricanes,Canucks,5,3,PNC Arena,Hurricanes,04:30,1.82,4.75,3.86
143,2018020081,2018-10-16,Penguins,Canucks,2,3,PPG Paints Arena,Canucks,04:30,1.67,4.95,4.15
144,2018020038,2018-10-09,Blue Jackets,Avalanche,5,2,Nationwide Arena,Blue Jackets,04:30,2.1,4.4,3.13
145,2018020082,2018-10-16,Lightning,Hurricanes,4,2,Amalie Arena,Lightning,05:00,2.01,4.55,3.2
146,2018020036,2018-10-09,Flyers,Sharks,2,8,Wells Fargo Center,Sharks,04:30,2.49,4.2,2.6
147,2018020082,2018-10-16,Lightning,Hurricanes,4,2,Amalie Arena,Lightning,05:00,2.01,4.55,3.2
148,2018020037,2018-10-09,Hurricanes,Canucks,5,3,PNC Arena,Hurricanes,04:30,1.82,4.75,3.86
149,2018020083,2018-10-17,Wild,Coyotes,2,1,Xcel Energy Center,Wild,05:30,2.04,4.75,3.2
150,2018020038,2018-10-09,Blue Jackets,Avalanche,5,2,Nationwide Arena,Blue Jackets,04:30,2.1,4.4,3.13
