id,game_id,date,home_team,away_team,home_goals,away_goals,venue,WINNER,time,odds_1,odds_x,odds_y
216,2018020101,2018-10-20,Flames,Predators,3,5,Scotiabank Saddledome,Predators,06:30,2.68,4.2,2.36
217,2018020145,2018-10-26,Red Wings,Jets,1,2,Little Caesars Arena,Jets,05:00,3.38,4.5,2.01
218,2018020101,2018-10-20,Flames,Predators,3,5,Scotiabank Saddledome,Predators,06:30,2.68,4.2,2.36
219,2018020146,2018-10-26,Hurricanes,Sharks,4,3,PNC Arena,Hurricanes,05:00,2.5,4.3,2.6
220,2018020147,2018-10-27,Avalanche,Senators,6,3,Pepsi Center,Avalanche,06:30,1.79,4.5,3.98
221,2018020147,2018-10-27,Avalanche,Senators,6,3,Pepsi Center,Avalanche,06:30,1.79,4.5,3.98
222,2018020148,2018-10-27,Devils,Panthers,3,2,Prudential Center,Devils,21:30,2.3,4.33,2.75
223,2018020148,2018-10-27,Devils,Panthers,3,2,Prudential Center,Devils,21:30,2.3,4.33,2.75
224,2018020149,2018-10-27,Flyers,Islanders,1,6,Wells Fargo Center,Islanders,22:30,2.06,4.55,3.15
225,2018020149,2018-10-27,Flyers,Islanders,1,6,Wells Fargo Center,Islanders,22:30,2.06,4.55,3.15
226,2018020150,2018-10-27,Predators,Oilers,3,5,Bridgestone Arena,Oilers,00:30,1.8,4.4,4.25
227,2018020102,2018-10-20,Flyers,Devils,5,2,Wells Fargo Center,Flyers,22:30,2.34,4.33,2.7
228,2018020150,2018-10-27,Predators,Oilers,3,5,Bridgestone Arena,Oilers,00:30,1.8,4.4,4.25
229,2018020103,2018-10-20,Hurricanes,Avalanche,1,3,PNC Arena,Avalanche,22:30,2.09,4.33,3.2
230,2018020151,2018-10-27,Flames,Capitals,3,4,Scotiabank Saddledome,Capitals,01:30,2.45,4.4,2.55
231,2018020102,2018-10-20,Flyers,Devils,5,2,Wells Fargo Center,Flyers,22:30,2.34,4.33,2.7
232,2018020151,2018-10-27,Flames,Capitals,3,4,Scotiabank Saddledome,Capitals,01:30,2.45,4.4,2.55
233,2018020103,2018-10-20,Hurricanes,Avalanche,1,3,PNC Arena,Avalanche,22:30,2.09,4.33,3.2
234,2018020152,2018-10-27,Bruins,Canadiens,0,3,TD Garden,Canadiens,04:30,1.89,4.7,3.62
